symbol,name,date,isEnabled,type,iexId
A,Agilent Technologies Inc.,2018-04-05,true,cs,2
AA,Alcoa Corporation,2018-04-05,true,cs,12042
AABA,Altaba Inc.,2018-04-05,true,cs,7653
AAC,AAC Holdings Inc.,2018-04-05,true,cs,9169
AADR,AdvisorShares Dorsey Wright ADR,2018-04-05,true,et,5
AAL,American Airlines Group Inc.,2018-04-05,true,cs,8148
AAMC,Altisource Asset Management Corp Com,2018-04-05,true,cs,7760
AAME,Atlantic American Corporation,2018-04-05,true,cs,7
AAN,Aaron's Inc.,2018-04-05,true,cs,8
AAOI,Applied Optoelectronics Inc.,2018-04-05,true,cs,7790
AAON,AAON Inc.,2018-04-05,true,cs,9
AAP,Advance Auto Parts Inc W/I,2018-04-05,true,cs,10
AAPL,Apple Inc.,2018-04-05,true,cs,11
AAT,American Assets Trust Inc.,2018-04-05,true,cs,12
AAU,Almaden Minerals Ltd.,2018-04-05,true,cs,13
AAV,Advantage Oil & Gas Ltd,2018-04-05,true,cs,14
AAWW,Atlas Air Worldwide Holdings,2018-04-05,true,cs,15
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,2018-04-05,true,et,16
AAXN,Axon Enterprise Inc.,2018-04-05,true,cs,6667
AB,AllianceBernstein Holding L.P. Units,2018-04-05,true,cs,17
ABAC,Renmin Tianli Group Inc.,2018-04-05,true,cs,5129
ABAX,ABAXIS Inc.,2018-04-05,true,cs,18
ABB,ABB Ltd,2018-04-05,true,cs,19
ABBV,AbbVie Inc.,2018-04-05,true,cs,20
ABC,AmerisourceBergen Corporation,2018-04-05,true,cs,21
ABCB,Ameris Bancorp,2018-04-05,true,cs,22
ABCD,Cambium Learning Group Inc.,2018-04-05,true,cs,23
ABDC,Alcentra Capital Corp.,2018-04-05,true,cs,8607
ABE,Aberdeen Emerging Markets Company Oppotunities Fund Inc.,2018-04-05,true,cs,2272
ABEO,Abeona Therapeutics Inc.,2018-04-05,true,cs,9600
ABEOW,,2018-04-05,true,N/A,9607
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),2018-04-05,true,cs,36
ABG,Asbury Automotive Group Inc,2018-04-05,true,cs,26
ABIL,Ability Inc.,2018-04-05,true,cs,10960
ABIO,ARCA biopharma Inc.,2018-04-05,true,cs,28
ABLX,Ablynx NV,2018-04-05,true,cs,13649
ABM,ABM Industries Incorporated,2018-04-05,true,cs,29
ABMD,ABIOMED Inc.,2018-04-05,true,cs,30
ABR,Arbor Realty Trust,2018-04-05,true,cs,31
ABR-A,Arbor Realty Trust Preferred Series A,2018-04-05,true,ps,32
ABR-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,2018-04-05,true,ps,33
ABR-C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,2018-04-05,true,ps,8310
ABRN*,,2018-04-05,true,N/A,8622
ABT,Abbott Laboratories,2018-04-05,true,cs,34
ABTX,Allegiance Bancshares Inc.,2018-04-05,true,cs,10446
ABUS,Arbutus Biopharma Corporation,2018-04-05,true,cs,6816
ABX,Barrick Gold Corporation,2018-04-05,true,cs,39
AC,Associated Capital Group Inc.,2018-04-05,true,cs,10827
ACAD,ACADIA Pharmaceuticals Inc.,2018-04-05,true,cs,41
ACBI,Atlantic Capital Bancshares Inc.,2018-04-05,true,cs,10459
ACC,American Campus Communities Inc,2018-04-05,true,cs,44
ACCO,Acco Brands Corporation,2018-04-05,true,cs,46
ACER,Acer Therapeutics Inc.,2018-04-05,true,cs,5176
ACERW,,2018-04-05,true,N/A,9912
ACET,Aceto Corporation,2018-04-05,true,cs,49
ACFC,Atlantic Coast Financial Corporation,2018-04-05,true,cs,50
ACGL,Arch Capital Group Ltd.,2018-04-05,true,cs,53
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,2018-04-05,true,ps,13294
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,2018-04-05,true,ps,11911
ACH,Aluminum Corporation of China Limited American Depositary Shares,2018-04-05,true,cs,54
ACHC,Acadia Healthcare Company Inc.,2018-04-05,true,cs,55
ACHN,Achillion Pharmaceuticals Inc.,2018-04-05,true,cs,56
ACHV,Achieve Life Sciences Inc.,2018-04-05,true,cs,5116
ACIA,Acacia Communications Inc.,2018-04-05,true,cs,10954
ACIM,SPDR MSCI ACWI IMI,2018-04-05,true,et,58
ACIU,AC Immune SA,2018-04-05,true,cs,11879
ACIW,ACI Worldwide Inc.,2018-04-05,true,cs,59
ACLS,Axcelis Technologies Inc.,2018-04-05,true,cs,60
ACM,AECOM,2018-04-05,true,cs,61
ACMR,ACM Research Inc.,2018-04-05,true,cs,13392
ACN,Accenture plc Class A (Ireland),2018-04-05,true,cs,63
ACNB,ACNB Corporation,2018-04-05,true,cs,64
ACOR,Acorda Therapeutics Inc.,2018-04-05,true,cs,66
ACP,Aberdeen Income Credit Strategies Fund,2018-04-05,true,cs,67
ACRE,Ares Commercial Real Estate Corporation,2018-04-05,true,cs,69
ACRS,Aclaris Therapeutics Inc.,2018-04-05,true,cs,10410
ACRX,AcelRx Pharmaceuticals Inc.,2018-04-05,true,cs,70
ACSF,American Capital Senior Floating Ltd.,2018-04-05,true,cs,8208
ACSI,American Customer Satisfaction Core Alpha,2018-04-05,true,N/A,12028
ACST,Acasti Pharma Inc.,2018-04-05,true,cs,71
ACT,AdvisorShares Vice ETF,2018-04-05,true,N/A,13895
ACTG,Acacia Research Corporation,2018-04-05,true,cs,73
ACU,Acme United Corporation.,2018-04-05,true,cs,76
ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,2018-04-05,true,cs,10012
ACWF,iShares Edge MSCI Multifactor Global,2018-04-05,true,N/A,9946
ACWI,iShares MSCI ACWI Index Fund,2018-04-05,true,et,79
ACWV,iShares Edge MSCI Min Vol Global,2018-04-05,true,et,80
ACWX,iShares MSCI ACWI ex US Index Fund,2018-04-05,true,et,81
ACXM,Acxiom Corporation,2018-04-05,true,cs,82
ACY,AeroCentury Corp.,2018-04-05,true,cs,83
ADAP,Adaptimmune Therapeutics plc,2018-04-05,true,cs,9962
ADBE,Adobe Systems Incorporated,2018-04-05,true,cs,85
ADC,Agree Realty Corporation,2018-04-05,true,cs,86
ADES,Advanced Emissions Solutions Inc.,2018-04-05,true,cs,89
ADI,Analog Devices Inc.,2018-04-05,true,cs,93
ADM,Archer-Daniels-Midland Company,2018-04-05,true,cs,96
ADMA,ADMA Biologics Inc,2018-04-05,true,cs,9483
ADMP,Adamis Pharmaceuticals Corporation,2018-04-05,true,cs,8158
ADMS,Adamas Pharmaceuticals Inc.,2018-04-05,true,cs,8476
ADNT,Adient plc,2018-04-05,true,cs,11802
ADOM,ADOMANI Inc.,2018-04-05,true,cs,13022
ADP,Automatic Data Processing Inc.,2018-04-05,true,cs,98
ADRA,BLDRS Asia 50 ADR Index Fund,2018-04-05,true,et,99
ADRD,BLDRS Developed Markets 100 ADR Index Fund,2018-04-05,true,et,100
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,2018-04-05,true,et,101
ADRO,Aduro Biotech Inc.,2018-04-05,true,cs,9823
ADRU,BLDRS Europe 100 ADR Index Fund,2018-04-05,true,et,102
ADS,Alliance Data Systems Corporation,2018-04-05,true,cs,103
ADSK,Autodesk Inc.,2018-04-05,true,cs,104
ADSW,Advanced Disposal Services Inc.,2018-04-05,true,cs,10650
ADT,ADT Inc.,2018-04-05,true,cs,13952
ADTN,ADTRAN Inc.,2018-04-05,true,cs,106
ADUS,Addus HomeCare Corporation,2018-04-05,true,cs,107
ADVM,Adverum Biotechnologies Inc.,2018-04-05,true,cs,8910
ADX,Adams Diversified Equity Fund Inc.,2018-04-05,true,cs,109
ADXS,Advaxis Inc.,2018-04-05,true,cs,8016
ADXSW,Advaxis Inc. Warrants,2018-04-05,true,N/A,8017
ADZ,DB Agriculture Short ETN due April 1 2038,2018-04-05,true,et,110
AE,Adams Resources & Energy Inc.,2018-04-05,true,cs,111
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),2018-04-05,true,bo,8723
AED,AEGON N.V. Perp. Cap. Securities (Netherlands),2018-04-05,true,bo,8724
AEE,Ameren Corporation,2018-04-05,true,cs,113
AEG,AEGON N.V.,2018-04-05,true,cs,114
AEGN,Aegion Corp,2018-04-05,true,cs,115
AEH,AEGON N.V. Perp. Cap Secs.,2018-04-05,true,bo,8726
AEHR,Aehr Test Systems,2018-04-05,true,cs,117
AEIS,Advanced Energy Industries Inc.,2018-04-05,true,cs,118
AEK,Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042,2018-04-05,true,N/A,8727
AEL,American Equity Investment Life Holding Company,2018-04-05,true,cs,119
AEM,Agnico Eagle Mines Limited,2018-04-05,true,cs,120
AEMD,Aethlon Medical Inc.,2018-04-05,true,cs,10300
AEO,American Eagle Outfitters Inc.,2018-04-05,true,cs,121
AEP,American Electric Power Company Inc.,2018-04-05,true,cs,122
AER,Aercap Holdings N.V.,2018-04-05,true,cs,124
AERI,Aerie Pharmaceuticals Inc.,2018-04-05,true,cs,8039
AES,The AES Corporation,2018-04-05,true,cs,126
AET,Aetna Inc.,2018-04-05,true,cs,128
AETI,American Electric Technologies Inc.,2018-04-05,true,cs,129
AEUA,Anadarko Petroleum Corporation 7.50% Tangible Equity Units,2018-04-05,true,su,10120
AEY,ADDvantage Technologies Group Inc.,2018-04-05,true,cs,130
AEZS,Aeterna Zentaris Inc.,2018-04-05,true,cs,131
AFB,AllianceBernstein National Municipal Income Fund Inc,2018-04-05,true,cs,136
AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,2018-04-05,true,bo,137
AFG,American Financial Group Inc.,2018-04-05,true,cs,141
AFGE,,2018-04-05,true,N/A,9316
AFGH,,2018-04-05,true,N/A,10869
AFH,Atlas Financial Holdings Inc.,2018-04-05,true,cs,142
AFHBL,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,2018-04-05,true,N/A,12908
AFI,Armstrong Flooring Inc.,2018-04-05,true,cs,11150
AFK,VanEck Vectors-Africa Index,2018-04-05,true,et,143
AFL,AFLAC Incorporated,2018-04-05,true,cs,144
AFMD,Affimed N.V.,2018-04-05,true,cs,8902
AFSI,AmTrust Financial Services Inc.,2018-04-05,true,cs,150
AFSI-A,AmTrust Financial Services Inc. Preferred Series A,2018-04-05,true,ps,151
AFSI-B,AmTrust Financial Services Inc. Depository Shares Series B,2018-04-05,true,ps,8938
AFSI-C,AmTrust Financial Services Inc. Depository Shares Series C,2018-04-05,true,ps,9301
AFSI-D,AmTrust Financial Services Inc. Depositary Shares Series D,2018-04-05,true,ps,9860
AFSI-E,AmTrust Financial Services Inc. Depositary Shares Series E,2018-04-05,true,ps,11166
AFSI-F,AmTrust Financial Services Inc. Depositary Shares Series F,2018-04-05,true,ps,11904
AFSS,,2018-04-05,true,N/A,10121
AFST,,2018-04-05,true,N/A,10558
AFT,Apollo Senior Floating Rate Fund Inc.,2018-04-05,true,cs,152
AFTY,CSOP FTSE China A50,2018-04-05,true,N/A,9810
AG,First Majestic Silver Corp. (Canada),2018-04-05,true,cs,154
AGA,DB Agriculture Double Short ETN due April 1 2038,2018-04-05,true,et,155
AGC,Advent Claymore Convertible Securities and Income Fund of Beneficial Interest,2018-04-05,true,cs,156
AGCO,AGCO Corporation,2018-04-05,true,cs,157
AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest,2018-04-05,true,cs,158
AGEN,Agenus Inc.,2018-04-05,true,cs,160
AGF,DB Agriculture Long ETN due April 1 2038,2018-04-05,true,et,161
AGFS,AgroFresh Solutions Inc.,2018-04-05,true,cs,8522
AGFSW,AgroFresh Solutions Inc. Warrants,2018-04-05,true,N/A,8533
AGG,iShares Core U.S. Aggregate Bond,2018-04-05,true,et,162
AGGE,IQ Enhanced Core Bond U.S.,2018-04-05,true,N/A,11327
AGGP,IQ Enhanced Core Plus Bond U.S.,2018-04-05,true,N/A,11328
AGGY,WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund,2018-04-05,true,N/A,10278
AGI,Alamos Gold Inc. Class A,2018-04-05,true,cs,10266
AGII,Argo Group International Holdings Ltd.,2018-04-05,true,cs,164
AGIIL,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,2018-04-05,true,N/A,165
AGIO,Agios Pharmaceuticals Inc.,2018-04-05,true,cs,166
AGLE,Aeglea BioTherapeutics Inc.,2018-04-05,true,cs,11213
AGM,Federal Agricultural Mortgage Corporation,2018-04-05,true,cs,168
AGM-A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,2018-04-05,true,ps,169
AGM-B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,2018-04-05,true,ps,8508
AGM-C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,2018-04-05,true,ps,8903
AGM.A,Federal Agricultural Mortgage Corporation,2018-04-05,true,cs,170
AGN,Allergan plc,2018-04-05,true,cs,72
AGNC,AGNC Investment Corp.,2018-04-05,true,cs,172
AGNCB,AGNC Investment Corp. Depositary Shares representing 1/1000th Series B Preferred Stock,2018-04-05,true,ps,8623
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,2018-04-05,true,ps,13319
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,2018-04-05,true,N/A,8169
AGO,Assured Guaranty Ltd.,2018-04-05,true,cs,174
AGO-B,Assured Guaranty Ltd.,2018-04-05,true,N/A,175
AGO-E,Assured Guaranty Ltd.,2018-04-05,true,N/A,176
AGO-F,Assured Guaranty Ltd.,2018-04-05,true,N/A,177
AGQ,ProShares Ultra Silver,2018-04-05,true,et,179
AGR,Avangrid Inc.,2018-04-05,true,cs,10927
AGRO,Adecoagro S.A.,2018-04-05,true,cs,180
AGRX,Agile Therapeutics Inc.,2018-04-05,true,cs,8646
AGS,PlayAGS Inc.,2018-04-05,true,cs,13933
AGT,iShares MSCI Argentina and Global Exposure,2018-04-05,true,N/A,12812
AGTC,Applied Genetic Technologies Corporation,2018-04-05,true,cs,8331
AGX,Argan Inc.,2018-04-05,true,cs,182
AGYS,Agilysys Inc.,2018-04-05,true,cs,183
AGZ,iShares Agency Bond,2018-04-05,true,et,184
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund,2018-04-05,true,N/A,8170
AHC,A.H. Belo Corporation,2018-04-05,true,cs,187
AHGP,Alliance Holdings GP L.P.,2018-04-05,true,cs,188
AHH,Armada Hoffler Properties Inc.,2018-04-05,true,cs,189
AHL,Aspen Insurance Holdings Limited,2018-04-05,true,cs,190
AHL-C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,2018-04-05,true,ps,8730
AHL-D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,2018-04-05,true,ps,11883
AHP,Ashford Hospitality Prime Inc.,2018-04-05,true,cs,7816
AHP-B,Ashford Hospitality Prime Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,2018-04-05,true,ps,11317
AHPA,Avista Healthcare Public Acquisition Corp.,2018-04-05,true,cs,12139
AHPAU,Avista Healthcare Public Acquisition Corp. Unit,2018-04-05,true,su,11786
AHPAW,Avista Healthcare Public Acquisition Corp. Warrants,2018-04-05,true,N/A,12144
AHPI,Allied Healthcare Products Inc.,2018-04-05,true,cs,191
AHT,Ashford Hospitality Trust Inc,2018-04-05,true,cs,193
AHT-D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,2018-04-05,true,ps,195
AHT-F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,2018-04-05,true,ps,11628
AHT-G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,2018-04-05,true,ps,12003
AHT-H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,2018-04-05,true,ps,13325
AHT-I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,2018-04-05,true,ps,13823
AI,Arlington Asset Investment Corp Class A (new),2018-04-05,true,cs,198
AI-B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,2018-04-05,true,ps,12907
AIA,iShares Asia 50 ETF,2018-04-05,true,et,199
AIC,,2018-04-05,true,N/A,9861
AIEQ,AI Powered Equity,2018-04-05,true,N/A,13582
AIF,Apollo Tactical Income Fund Inc.,2018-04-05,true,cs,201
AIG,American International Group Inc.,2018-04-05,true,cs,202
AIG+,American International Group Inc. Warrant expiring January 19 2021,2018-04-05,true,N/A,7912
AIHS,Senmiao Technology Limited,2018-04-05,true,cs,13684
